"Área","Pantalla","Ruta histórica","Componente fuente","Dependencias visuales","Roles","Permisos","Fuente actual","Modelos actuales","Modelos canónicos","API canónica","Portabilidad","Riesgo","Bloqueador","Fase propuesta"
"Cotización","Direcciones del caso","sales-quote-v3/case/:id/addresses","src/modules/sales-quote-v3/components/case-info/CaseAddressPanel.tsx","cards; editor","A,V","case:locations:view","workspace state","Location; LeadAddress","PipelineCaseLocation futuro","futuro /api/cases/:id/locations","Adaptable","Alto","Múltiples orígenes/destinos no modelados en PipelineCase","3 Materiales/logística"
"Cotización","Relación comercial","sales-quote-v3/case/:id/relationship","src/modules/sales-quote-v3/components/case-info/CommercialRelationshipTab.tsx","party cards","A,V","case:parties:view","commercial relation store","BusinessEntity; LeadParty; Account","CommercialParty/PipelineCaseParty futuro","futuro /api/cases/:id/parties","Reimplementar","Alto","No confundir Client, institución, Lead Account y pagador","7 Vinculaciones"
"Cotización","Referidos y comisiones","sales-quote-v3/case/:id/referral","src/modules/sales-quote-v3/components/case-info/ReferralTab.tsx","forms; badges","A,V","commission:view","workspace/store","LeadCommission; CommissionAgreement","Party role REFERRER + comisión futura","futuro /api/cases/:id/referrals","Reimplementar","Alto","Autoridad ligada a Lead histórico","7 Vinculaciones"
"Cotización","Programación Survey","sales-quote-v3/case/:id/survey","src/modules/sales-quote-v3/components/survey/VisitSchedulingModal.tsx","calendar; people selector","A,V,Evaluador","survey:schedule","visit store; mock users","Survey legado","Survey + evaluator Membership futuros","futuro POST /api/surveys","Reimplementar","Alto","Selector local de personas y Survey no tenant-first","2 Survey"
"Cotización","Precarga Mini","sales-quote-v3/case/:id/survey-mini","src/modules/sales-quote-v3/components/survey/MiniSurveyPanel.tsx","forms; metrics","A,V","survey:draft:write","workspace/store","Survey summary","Survey type MINI futuro","futuro /api/surveys/:id/draft","Adaptable","Alto","Persistencia y validación faltantes","2 Survey"
"Cotización","Historial de visita","sales-quote-v3/case/:id/survey-history","src/modules/sales-quote-v3/components/dialogs/VisitHistoryDialog.tsx","dialog; timeline","A,V,Evaluador","survey:view","visit store","EvaluatorVisitReport","Survey revisions futuras","futuro GET /api/surveys/:id/revisions","Adaptable","Medio","Historial inmutable no modelado","2 Survey"
"Cotización","Resultado Survey","sales-quote-v3/case/:id/survey-result","src/modules/sales-quote-v3/components/survey/SurveyResultPanel.tsx","summary; detail dialog","A,V","survey:view","workspace/store","Survey; EvaluatorVisitReport","Survey submitted revision futura","futuro GET /api/surveys/:id","Adaptable","Medio","Unidades y evidencia necesitan contrato","2 Survey"
"Cotización","Comunicación PIC","sales-quote-v3/case/:id/pic","src/modules/sales-quote-v3/components/survey/SurveyPicCommunicationPanel.tsx","message composer; status","A,V","pic:view; futuro pic:send","workspace/store","Template; eventos locales","PIC/Dispatch futuro","futuro /api/cases/:id/pic","Reimplementar","Alto","No hay autoridad PIC transaccional","6 PIC"
"Cotización","Preflight de cotización","sales-quote-v3/case/:id/quote","src/modules/sales-quote-v3/components/quote/QuotePreflightPanel.tsx","checklist; alerts","A,V","quote:view","cálculo local","CaseQuote; Survey","Quote alternativa futura","futuro GET /api/quotes/:id/preflight","Adaptable","Medio","Reglas de completitud sin contrato servidor","5 Cotización"
"Cotización","Versiones y snapshots","sales-quote-v3/case/:id/versions","src/modules/sales/components/pipeline/CaseDetailsTabs/CaseQuotesTab.tsx","version list; status","A,V","quote:view","case store","CaseQuote; QuoteVersion","Quote/QuoteVersion futuras tenant-first","futuro GET /api/cases/:id/quotes","Adaptable","Alto","Modelo actual cuelga de ServiceCase","5 Cotización"
"Cotización","Cambios y addenda","sales-pipeline/case/change-orders","src/modules/sales/components/pipeline/CaseDetailsTabs/CaseTabChangeOrders.tsx","timeline; approvals","A,V","quote:change:view","store/API parcial","QuoteAddendum; QuoteChangeOrder","QuoteChangeOrder canónico futuro","helpers internos; API futura","Adaptable","Alto","No conectar hasta QuoteVersion aceptada","5 Cotización"
"Tarifas/Costos","Tarifario maestro","commercial-relations/tariffs","src/modules/commercial/CommercialRelationsModule.tsx","tables; editors","A,V restringido","tariff:view; tariff:manage","commercialRelationsStore","MasterTariff; profiles","MasterTariff tenant-first futuro","futuro /api/tariffs","Reimplementar","Alto","Catálogo y stores no tenant-first","4 Tarifas"
"Tarifas/Costos","Motor logístico","/admin/logistic-engine","src/components/modules/LogisticEngineAdminModule.tsx","tabs; maps; rule editors","A","logistics:manage","API/helpers parciales","GeoRegion; Hub; ZoneRule; Vehicle","Iguales con ownership tenant-first","helpers internos; API futura","Adaptable","Alto","No existe contrato público completo","4 Tarifas"
"Tarifas/Costos","Bandas y perfiles","admin-logistic-engine/pricing","src/modules/sales-quote-v3/SalesQuoteWorkspace.tsx","rate tables; selectors","A,V","tariff:view","salesStore","TariffRateSet; TariffRateBand; AccountPricingProfile","Iguales tenant-first","futuro /api/tariffs/:id/rates","Reimplementar","Alto","Snapshot y aplicación de tarifa no formalizados","4 Tarifas"
"Tarifas/Costos","Recargos y manejo especial","sales-quote-v3/costs","src/modules/sales-quote-v3/SalesQuoteWorkspace.tsx","cost blocks","A,V","quote:cost:view","workspace calculations","SurchargeCatalog; CatalogSurcharge; CatalogSpecialHandling","Catálogos tenant-first + QuoteLine futura","futuro /api/quotes/:id/costs","Reimplementar","Alto","Cálculos locales y catálogos globales","4 Tarifas"
"Tarifas/Costos","Moneda y FX","sales-quote-v3/currency","src/modules/sales-quote-v3/SalesQuoteWorkspace.tsx","currency selectors; totals","A,V","quote:fx:view","workspace/local settings","CaseQuote.currency","Quote/QuoteVersion FX snapshot futuro","futuro /api/quotes/:id/fx","Reimplementar","Alto","Faltan proveedor, vigencia, redondeo y política FX","5 Cotización"
"Materiales/Almacén","Inventario","inventory","src/components/modules/InventoryModule.tsx","tables; cards; dialogs","A,C","inventory:view","mockInventoryItems; stores","CatalogMaterial parcial","CatalogMaterial; Stock; Warehouse futuros","futuro /api/inventory","Reimplementar","Alto","Mock y ausencia de stock tenant-first","3 Materiales"
"Materiales/Almacén","WMS movimientos","wms","src/components/modules/WMSModule.tsx","movement tables; forms","A,C","wms:view","mockInventoryMoves; stores","sin autoridad completa","InventoryMovement futuro","futuro /api/wms/movements","Reimplementar","Alto","Movimientos locales y mockUsers","3 Materiales"
"Materiales/Almacén","Administración de almacén","warehouse-admin","src/components/modules/WarehouseAdminModule.tsx","warehouse cards; settings","A,C","wms:manage","local state/store","sin modelo suficiente","Warehouse; Bin futuros","futuro /api/warehouses","Reimplementar","Alto","Faltan tenant, ubicaciones y constraints","3 Materiales"
"Materiales/Almacén","Compras","purchases","src/components/modules/PurchasesModule.tsx","orders; suppliers","A,C","purchases:view","local store/mock","sin modelo suficiente","PurchaseOrder/Supplier futuros","futuro /api/purchases","Reimplementar","Alto","Sin autoridad canónica","3 Materiales"
"Materiales/Almacén","Flota y equipos","fleet-admin","src/components/modules/FleetAdminModule.tsx","vehicle cards; forms","A","fleet:view","stores/API parcial","Vehicle; VehicleEngineSettings","Iguales tenant-first","futuro /api/fleet","Adaptable","Medio","Ownership y contratos públicos incompletos","3 Materiales"
"Cajas/Taller","Cajas de madera","crate-wood","src/components/modules/CrateWoodModule.tsx","requests; measures; status","A,PA-PF,V","crating:view","crate stores","PipelineCratingRequest; CratingRequest","CratingRequest canónico futuro","futuro /api/crating","Reimplementar","Alto","Dos autoridades divididas","3 Cajas"
"Cajas/Taller","Configuración de cajas","crate-settings","src/components/modules/CrateSettingsModule.tsx","settings; versions","A,PA","crating:settings:view","local/API snapshot","crate_settings_versions","Crating settings tenant-first","futuro /api/crating/settings","Adaptable","Medio","Versionado existe sin contrato público","3 Cajas"
"Cajas/Taller","Nesting","nesting","src/components/modules/NestingModule.tsx","canvas; optimizer","A,PA-PF","crating:design","cálculo local","crate snapshots parciales","CratingDesign futuro","futuro /api/crating/:id/designs","Adaptable","Medio","Cálculo debe ser puro y snapshot inmutable","3 Cajas"
"Cajas/Taller","Nesting V2","nesting-v2","src/components/modules/NestingV2Module.tsx","canvas; optimizer","A,PA-PF","crating:design","cálculo local","crate snapshots parciales","CratingDesign futuro","futuro /api/crating/:id/designs","Adaptable","Medio","Duplicación con Nesting V1","3 Cajas"
"Cajas/Taller","Diseña y cotiza","disena-cotiza","src/components/modules/DisenaCotizaModule.tsx","wizard; totals","A,PA,V","crating:quote:view","local state","CratingRequest; QuoteLineItem","Crating + QuoteLine futuros","futuro /api/crating/:id/estimate","Reimplementar","Alto","Mezcla diseño y cotización local","3 Cajas / 5 Quote"
"Cajas/Taller","Carpintería","carpentry","src/components/modules/CarpentryModule.tsx","work orders; status","A,PA-PF","workshop:view","local store","sin modelo integral","WorkshopOrder futuro","futuro /api/workshop/orders","Reimplementar","Alto","Sin autoridad canónica","3 Cajas"
"Administración","Usuarios","users","src/components/modules/UsersModule.tsx","table; forms; roles","A","users:view; users:manage","mockUsers; local user store; API","User; TenantMembership; provisioning","User; TenantMembership; provisioning","/api/users; provisioning APIs","Adaptable","Alto","Eliminar mocks y no editar autoridad por UI local","9 Adaptación visual"
"Administración","Configuración","settings","src/components/modules/SettingsModule.tsx","forms; tabs","A","settings:view; settings:manage","localStorage/settings store","GlobalCommercialSettings parcial","TenantSettings futuros","futuro /api/settings","Reimplementar","Alto","Configuración local no es autoridad","9 Adaptación visual"
"Administración","Clientes","clients","src/components/modules/ClientsModule.tsx","table; detail; forms","A,V","clients:view","API/store mixto","Client","Client receptor; parties futuras","/api/clients","Adaptable","Alto","Campos heredados sobrecargan contacto/facturación","9 Adaptación visual"
"Administración","Plantillas","templates-center","src/components/modules/TemplatesCenterModule.tsx","editor; preview; approvals","A,V","templates:view","API templates","Template; TemplateVersion","Iguales","/api/templates/**","Adaptable","Bajo","Mantener DOMPurify y workflow","6 PIC"
"Administración","Personal y provisión","users/provisioning","src/components/modules/UsersModule.tsx","dialogs; role proposals","A","users:manage","API/store mixto","EmployeeProfile; provisioning requests","Iguales","/api/employees/**","Adaptable","Medio","Separar User de EmployeeProfile","9 Adaptación visual"
"Coordinación/Operaciones","Proyectos","projects","src/components/modules/ProjectsModule.tsx","table; cards; detail","A,K,V","projects:view","project/sales/calendar stores","Project; ProjectCoordination","Project ligado a PipelineCase","/api/projects; /api/k/project/**","Adaptable","Alto","Stores y vínculo comercial parcial","8 Handoff"
"Coordinación/Operaciones","Dashboard K","k-dashboard","src/components/modules/KDashboardModule.tsx","KPIs; queues","A,K","projects:view; ops:view","stores","Project; ProjectSignal","Iguales","/api/k/project/**","Adaptable","Medio","Agregados y permisos por definir","8 Handoff"
"Coordinación/Operaciones","Proyecto K","k-project","src/components/modules/KProjectModule.tsx","validation; PGD","A,K","projects:view; ops:manage","API/store mixto","Project; ProjectPgd; ProjectSignal","Iguales","/api/k/project/**","Adaptable","Medio","Eliminar fallback local","8 Handoff"
"Coordinación/Operaciones","OSI","osi","src/components/modules/OSIModule.tsx","orders; logs; materials","A,B,K","osi:view","API/store/mockUsers fallback","Osi; OsiChangeLog; returns","Iguales","/api/osi/**","Adaptable","Alto","MockUsers y storage histórico","8 Handoff"
"Coordinación/Operaciones","Operaciones","operations","src/components/modules/OperationsModule.tsx","boards; tasks","A,B","ops:view","local stores","Project; Osi parciales","Project; Osi; eventos futuros","APIs Project/OSI","Reimplementar","Alto","Autoridad de tareas insuficiente","8 Handoff"
"Coordinación/Operaciones","Despacho","dispatch","src/components/modules/DispatchModule.tsx","schedule; assignment","A,B,D","ops:view","local store","Osi parcial","Dispatch/Assignment futuros","futuro /api/dispatch","Reimplementar","Alto","Asignaciones no canónicas","8 Handoff"
"Coordinación/Operaciones","Tracking","tracking","src/components/modules/TrackingModule.tsx","map; timeline","A,B,K,V","ops:view","local store/mock","Project/Osi events parciales","OperationalEvent futuro","futuro /api/tracking","Reimplementar","Alto","Ubicación y eventos sin autoridad","8 Handoff"
"Coordinación/Operaciones","Supervisión","supervisor","src/components/modules/SupervisorModule.tsx","checklists; team","A,B,N","ops:view","local store","sin modelo integral","WorkAssignment futuro","futuro /api/operations/supervision","Reimplementar","Alto","Sin autoridad canónica","8 Handoff"
"Coordinación/Operaciones","Chofer","driver","src/components/modules/DriverModule.tsx","mobile tasks; status","D","ops:view","local store","Vehicle/Osi parciales","Assignment/Event futuros","futuro /api/driver/tasks","Reimplementar","Alto","Offline local y autoridad incompleta","8 Handoff"
"Coordinación/Operaciones","Seguridad","security","src/components/modules/SecurityModule.tsx","access list; QR","G","security:view","local store","sin modelo integral","ServiceEvent/AccessVerification futuro","futuro /api/service-events","Reimplementar","Alto","QR y override requieren auditoría","8 Handoff"
"Coordinación/Operaciones","Trabajador de campo","field-worker","src/components/modules/FieldWorkerModule.tsx","mobile tasks","PE,E","ops:view","local store","sin modelo integral","WorkAssignment futuro","futuro /api/field/tasks","Reimplementar","Alto","Offline queue prohibida","8 Handoff"
"Coordinación/Operaciones","Muro operativo","wall","src/components/modules/WallModule.tsx","large-screen board","A,B,K","ops:view","stores","Project/Osi agregados","read model futuro","futuro /api/operations/wall","Adaptable","Medio","Agregado server-side pendiente","8 Handoff"
"Recursos Humanos","RRHH","hr","src/components/modules/HRModule.tsx","personnel tables; forms","A,I","hr:view","mockUsers; API parcial","EmployeeProfile","EmployeeProfile + HR futuros","futuro /api/hr","Reimplementar","Alto","Mocks y dominio incompleto","9 Adaptación visual"
"Recursos Humanos","KPI","kpi","src/components/modules/KPIModule.tsx","charts; scorecards","A,I","hr:view","mockKPIRecords","sin modelo integral","PerformanceRecord futuro","futuro /api/hr/kpi","Reimplementar","Alto","Datos simulados","9 Adaptación visual"
"Recursos Humanos","NOTA","nota","src/components/modules/NOTAModule.tsx","forms; history","A,I","hr:view","local store","sin modelo integral","HRNote futuro","futuro /api/hr/notes","Reimplementar","Alto","Sin autoridad y posible dato sensible","9 Adaptación visual"
"Recursos Humanos","NOTA supervisor","supervisor-nota","src/components/modules/SupervisorNotaModule.tsx","mobile form; queue","A,I,N","hr:view","local store","sin modelo integral","HRNote/Approval futuros","futuro /api/hr/notes","Reimplementar","Alto","Cola local y privacidad","9 Adaptación visual"
"Recursos Humanos","Badges","badges","src/components/modules/BadgesModule.tsx","badges; awards","A,I","hr:view","local/mock","sin modelo integral","Recognition futuro","futuro /api/hr/recognition","Reimplementar","Medio","Sin autoridad canónica","9 Adaptación visual"
"Recursos Humanos","Facturación interna","billing","src/components/modules/BillingModule.tsx","tables; totals","A,I","billing:view","local store","sin modelo contable aprobado","Invoice/AR/Payment futuros","futuro /api/billing","Reimplementar","Alto","Pagos no pertenecen a Quote","10 Ensayo integrado"
"Taller/Personal","Mantenimiento","maintenance","src/components/modules/MaintenanceModule.tsx","work orders; schedule","A,PB","fleet:view","local store","Vehicle parcial","MaintenanceOrder futuro","futuro /api/maintenance","Reimplementar","Alto","Sin autoridad de orden","9 Adaptación visual"
"Taller/Personal","Mecánica","mechanic","src/components/modules/MechanicModule.tsx","mobile work orders","PB","fleet:view","local store","Vehicle parcial","MaintenanceOrder futuro","futuro /api/maintenance","Reimplementar","Alto","Sin autoridad y offline local","9 Adaptación visual"
